Date,Time,Job ID,Cycle Time (s),Job Count,Machine Utilization (%),Spindle Speed (RPM),Feed Rate (mm/min),Tool Number,Tool Wear (%),Part Status,Defect Type,Vibration Level (mm/s),Spindle Temperature (°C),Power Consumption (kWh),Operator ID,Machine Status
2025-05-05,18:00:23,J1000,157,1,88.64,3904,656,7,0.0,OK,None,3.74,58,2.19,OP1,Running
2025-05-05,18:00:39,J1000,88,2,66.12,3456,351,2,2.5,OK,None,2.92,43,2.01,OP3,Running
2025-05-05,18:01:31,J1000,92,3,85.0,4952,831,1,5.0,OK,None,2.32,47,0.82,OP1,Running
2025-05-05,18:02:19,J1000,67,4,85.41,6951,1039,8,7.5,OK,None,3.02,38,2.46,OP1,Running
2025-05-05,18:02:40,J1000,53,5,75.36,6801,436,6,10.0,OK,None,4.93,40,1.93,OP2,Running
2025-05-05,18:03:38,J1001,156,6,73.71,3960,1171,5,12.5,NG,Burr,2.97,40,2.09,OP1,Running
2025-05-05,18:04:02,J1001,98,7,93.95,5665,1024,10,15.0,OK,None,0.71,40,0.87,OP2,Running
2025-05-05,18:04:38,J1001,146,8,74.63,7442,403,9,17.5,OK,None,3.88,36,0.3,OP1,Running
2025-05-05,18:05:32,J1001,155,9,92.4,4128,435,3,20.0,OK,None,2.68,42,1.27,OP1,Running
2025-05-05,18:05:55,J1001,101,10,90.08,3669,384,9,22.5,OK,None,1.04,53,1.17,OP2,Running
2025-05-05,18:06:46,J1002,130,11,72.1,4960,1178,5,25.0,OK,None,0.59,45,0.71,OP2,Running
2025-05-05,18:07:20,J1002,91,12,87.68,4383,1055,5,27.5,OK,None,4.78,59,2.46,OP3,Running
2025-05-05,18:07:51,J1002,140,13,81.74,6001,1177,2,30.0,OK,None,3.7,43,1.98,OP3,Running
2025-05-05,18:08:41,J1002,98,14,84.55,7221,608,9,32.5,OK,None,1.84,38,2.15,OP2,Running
2025-05-05,18:09:08,J1002,152,14,91.22,7107,614,6,35.0,None,None,4.93,59,0.27,OP1,Breakdown
2025-05-05,18:09:37,J1003,76,14,79.4,7229,387,10,37.5,None,None,4.79,63,1.94,OP1,Idle
2025-05-05,18:10:31,J1003,47,15,65.51,6611,484,4,40.0,OK,None,4.48,54,0.37,OP3,Running
2025-05-05,18:11:02,J1003,156,16,73.1,4726,579,1,42.5,OK,None,0.72,36,0.88,OP1,Running
2025-05-05,18:11:36,J1003,91,17,90.0,6093,482,10,45.0,OK,None,0.8,44,1.32,OP2,Running
