Timestamp,Mode,Cycle Time (s),Job Count,Machine Utilization (%),Spindle Speed (RPM),Feed Rate (mm/min),Tool Wear (%),Vibration Level (mm/s),Spindle Temperature (°C),Power Consumption (kWh),Part Status,Machine Status,Confidence,Defect Types
2025-06-19 12:19:10,manual,90,10,75,6620,800,30,10,45,150,❌ NG,🔴 Breakdown,90,Spindle Overload
2025-06-19 12:19:38,manual,90,10,75,6620,800,91,10,45,150,❌ NG,🔴 Breakdown,80,"Spindle Overload, Tool Wear/Breakage"
2025-06-19 12:29:21,manual,90,10,75,6306,800,30,10,45,150,❌ NG,🔴 Breakdown,90,Spindle Overload
2025-06-19 12:29:35,batch,157,1,88.64,3904,656,0.0,3.74,58,2.19,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,88,2,66.12,3456,351,2.5,2.92,43,2.01,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,92,3,85.0,4952,831,5.0,2.32,47,0.82,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,67,4,85.41,6951,1039,7.5,3.02,38,2.46,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,53,5,75.36,6801,436,10.0,4.93,40,1.93,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,156,6,73.71,3960,1171,12.5,2.97,40,2.09,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,98,7,93.95,5665,1024,15.0,0.71,40,0.87,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,146,8,74.63,7442,403,17.5,3.88,36,0.3,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,155,9,92.4,4128,435,20.0,2.68,42,1.27,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,101,10,90.08,3669,384,22.5,1.04,53,1.17,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,130,11,72.1,4960,1178,25.0,0.59,45,0.71,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,91,12,87.68,4383,1055,27.5,4.78,59,2.46,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,140,13,81.74,6001,1177,30.0,3.7,43,1.98,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,98,14,84.55,7221,608,32.5,1.84,38,2.15,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,152,14,91.22,7107,614,35.0,4.93,59,0.27,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,76,14,79.4,7229,387,37.5,4.79,63,1.94,❌ NG,🔴 Breakdown,70,"Spindle Overload, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,47,15,65.51,6611,484,40.0,4.48,54,0.37,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,156,16,73.1,4726,579,42.5,0.72,36,0.88,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,91,17,90.0,6093,482,45.0,0.8,44,1.32,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
